2017-08-26 08:21:26,226 [1] INFO  EWorldServer.EWorldServerApp - 服务器启动成功
2017-08-26 08:21:26,241 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=D:\NTS教学平台\GitHub\eworldgame\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-26 08:39:28,661 [16] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-26 08:39:28,673 [16] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=D:\NTS教学平台\GitHub\eworldgame\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-26 08:39:28,683 [16] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-26 08:39:28,684 [16] INFO  EWorldServer.EWorldServerApp - 服务器关闭
2017-08-26 08:39:28,685 [16] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-26 08:39:38,719 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-26 08:39:38,723 [1] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-26 08:39:38,723 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-26 08:39:47,765 [1] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-26 08:39:47,777 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=D:\NTS教学平台\GitHub\eworldgame\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-26 08:40:01,078 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-26 08:40:01,082 [1] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-26 08:40:01,082 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-27 01:32:00,648 [1] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-27 01:32:00,675 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-27 02:01:58,566 [19] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-27 02:01:58,579 [19] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-27 02:01:58,592 [19] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-27 02:01:58,599 [19] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-27 02:01:58,603 [19] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-27 02:03:08,385 [19] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-27 02:03:08,398 [19] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-27 02:03:08,412 [19] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-27 02:03:08,419 [19] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-27 02:03:08,424 [19] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-27 02:04:09,524 [19] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-27 02:04:09,538 [19] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-27 02:04:09,552 [19] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-27 02:04:09,561 [19] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-27 02:04:09,565 [19] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-27 02:05:31,203 [19] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-27 02:05:31,216 [19] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-27 02:05:31,230 [19] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-27 02:05:31,237 [19] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-27 02:05:31,241 [19] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-27 02:10:37,559 [19] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-27 02:10:37,573 [19] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-27 02:10:37,587 [19] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-27 02:10:37,594 [19] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-27 02:10:37,598 [19] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-27 02:10:48,970 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-27 02:10:48,983 [1] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-27 02:10:48,987 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-27 02:10:55,267 [1] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-27 02:10:55,280 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-27 02:11:17,921 [15] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
